problem,n_obj,algorithm,hv_mean,hv_std,igd_mean,igd_std,runtime_mean,runtime_std
dtlz1,2,NSGA-II,0.0521,0.0751,0.3778,0.324,1.4415,0.0204
dtlz1,2,SMS-EMOA,0.0236,0.0499,0.658,0.4556,16.2763,0.2505
dtlz1,3,NSGA-II,0.0,0.0,1.4419,0.7097,1.2038,0.0179
dtlz1,3,SMS-EMOA,0.0362,0.0536,0.4724,0.3685,15.1569,0.1033
dtlz2,2,NSGA-II,0.4192,0.0003,0.0023,0.0002,1.0614,0.0126
dtlz2,2,SMS-EMOA,0.421,0.0,0.0016,0.0001,15.3309,0.6411
dtlz2,3,NSGA-II,0.7031,0.0078,0.0389,0.0032,1.1634,0.0151
dtlz2,3,SMS-EMOA,0.7578,0.0,0.0171,0.0005,16.1338,0.4665
dtlz4,2,NSGA-II,0.2955,0.1567,0.1527,0.1905,1.4053,0.414
dtlz4,2,SMS-EMOA,0.2966,0.1577,0.1522,0.1909,26.4399,14.4554
dtlz4,3,NSGA-II,0.7062,0.005,0.0374,0.002,1.1138,0.0112
dtlz4,3,SMS-EMOA,0.6793,0.1349,0.0743,0.0981,15.7815,0.1973
